Fiscal Year,Town Code,Municipality,Total Consideration for Taxable Conveyances,Total Amount Due,Consideration for Unimproved Land,Tax on Unimproved Land,Total Consideration for Residential Dwelling,Consideration for Residential Dwelling Under Threshold,Tax on Consideration Under Threshold Residential Dwelling,Consideration for Residential Dwelling Over Threshold,Tax on Consideration Over Threshold Residential Dwelling,Consideration for Residential Dwelling Between $800k-$2.5M,Tax on Consideration Between $800k-$2.5M Residential Dwelling,Consideration for Residential Dwelling Over $2.5M Threshold,Tax on Consideration Over $2.5M Threshold Residential Dwelling,Residential Property Other Than Dwelling,Tax on Residential Property Other Than Dwelling,Nonresidential Property Other Than Unimproved Land,Tax on Nonresidential Property Other Than Unimproved Land,Delinquent Mortgage Conveyance,Tax on Delinquent Mortgagor,Number of Taxable Conveyances,Number of Non-Taxable and Exempt Conveyances
FY 2020-21,133,SPRAGUE (133),12944951.00,97087.00,664100.00,4981.00,11975851.00,11975851.00,89819.00,,,0.00,0.00,0.00,0.00,305000.00,2288.00,0.00,0.00,0.00,0.00,58,32
FY 2020-21,134,STAFFORD (134),63710191.00,521087.00,2456250.00,18422.00,49531576.00,49531576.00,371487.00,,,0.00,0.00,0.00,0.00,3070252.00,23027.00,8652113.00,108151.00,0.00,0.00,347,125
FY 2020-21,135,STAMFORD (135),1847808225.00,15530185.00,24271272.00,182035.00,1396823673.00,1214432906.00,9108247.00,,,166952049.00,2086901.00,15438718.00,347371.00,305656780.00,2292426.00,121056500.00,1513206.00,0.00,0.00,2507,785
FY 2020-21,136,STERLING (136),22735035.00,170628.00,667000.00,5003.00,21930035.00,21930035.00,164475.00,,,0.00,0.00,0.00,0.00,115000.00,863.00,23000.00,288.00,0.00,0.00,107,42
FY 2020-21,137,STONINGTON (137),262368901.00,2268846.00,11739068.00,88043.00,224317858.00,191846558.00,1438849.00,,,29983800.00,374798.00,2487500.00,55969.00,3542500.00,26569.00,22769474.00,284618.00,0.00,0.00,551,272
FY 2020-21,138,STRATFORD (138),490224789.00,3981360.00,10091900.00,75689.00,394144551.00,387165551.00,2903742.00,,,6979000.00,87238.00,0.00,0.00,32032500.00,240244.00,53955838.00,674448.00,0.00,0.00,1357,452
FY 2020-21,139,SUFFIELD (139),137021998.00,1109446.00,8641730.00,64813.00,112518404.00,111170065.00,833775.00,,,1348339.00,16854.00,0.00,0.00,854000.00,6405.00,15007864.00,187598.00,0.00,0.00,375,170
FY 2020-21,140,THOMASTON (140),42170851.00,338244.00,639282.00,4795.00,37076642.00,37076642.00,278075.00,,,0.00,0.00,0.00,0.00,62500.00,469.00,4392427.00,54905.00,0.00,0.00,196,68
FY 2020-21,141,THOMPSON (141),55875812.00,423969.00,3792950.00,28447.00,51045362.00,51045362.00,382840.00,,,0.00,0.00,0.00,0.00,57500.00,431.00,980000.00,12250.00,0.00,0.00,245,134
FY 2020-21,142,TOLLAND (142),96690460.00,733332.00,3523400.00,26426.00,90116780.00,89641359.00,672310.00,,,475422.00,5943.00,0.00,0.00,1894915.00,14212.00,1155365.00,14442.00,0.00,0.00,327,151
FY 2020-21,143,TORRINGTON (143),181894848.00,1449304.00,3867030.00,29003.00,156519418.00,156434942.00,1173262.00,,,84476.00,1056.00,0.00,0.00,4574400.00,34308.00,16934000.00,211675.00,0.00,0.00,1003,307
FY 2020-21,144,TRUMBULL (144),439014650.00,3340080.00,3015830.00,22619.00,350525320.00,343680731.00,2577605.00,,,6844589.00,85557.00,0.00,0.00,82824000.00,621180.00,2649500.00,33119.00,0.00,0.00,768,304
FY 2020-21,145,UNION (145),4582001.00,34365.00,416101.00,3121.00,4165900.00,4165900.00,31244.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25,23
FY 2020-21,146,VERNON (146),132438749.00,1029935.00,1586100.00,11896.00,115838857.00,115838857.00,868791.00,,,0.00,0.00,0.00,0.00,7685000.00,57638.00,7328792.00,91610.00,0.00,0.00,604,176
FY 2020-21,147,VOLUNTOWN (147),19828525.00,151048.00,1667450.00,12506.00,16539175.00,16444175.00,123331.00,,,95000.00,1188.00,0.00,0.00,1250000.00,9375.00,371900.00,4649.00,0.00,0.00,80,41
FY 2020-21,148,WALLINGFORD (148),285318262.00,2511847.00,1791899.00,13439.00,204119395.00,203259395.00,1524445.00,,,860000.00,10750.00,0.00,0.00,5875000.00,44063.00,73531968.00,919150.00,0.00,0.00,796,339
FY 2020-21,149,WARREN (149),63363233.00,667439.00,7674500.00,57559.00,53962733.00,30795733.00,230968.00,,,16392000.00,204900.00,6775000.00,152438.00,0.00,0.00,1726000.00,21575.00,0.00,0.00,75,34
FY 2020-21,150,WASHINGTON (150),170160062.00,1818210.00,11994330.00,89957.00,155671732.00,85573832.00,641804.00,,,52192900.00,652411.00,17905000.00,402863.00,0.00,0.00,2494000.00,31175.00,0.00,0.00,163,60
FY 2020-21,151,WATERBURY (151),383016591.00,3115339.00,4649077.00,34868.00,327097324.00,325977349.00,2444830.00,,,1119975.00,14000.00,0.00,0.00,3847200.00,28854.00,47422991.00,592787.00,0.00,0.00,2143,744
FY 2020-21,152,WATERFORD (152),189003677.00,1518325.00,5109099.00,38318.00,165041578.00,163487178.00,1226154.00,,,1554400.00,19430.00,0.00,0.00,248000.00,1860.00,18605000.00,232563.00,0.00,0.00,610,228
FY 2020-21,153,WATERTOWN (153),138542234.00,1102669.00,4191850.00,31439.00,130127384.00,121577384.00,911830.00,,,8550000.00,106875.00,0.00,0.00,52500.00,394.00,4170500.00,52131.00,0.00,0.00,478,264
FY 2020-21,154,WESTBROOK (154),104473449.00,844635.00,3515900.00,26369.00,94424287.00,84758287.00,635687.00,,,9666000.00,120825.00,0.00,0.00,3982374.00,29868.00,2550888.00,31886.00,0.00,0.00,314,229
FY 2020-21,155,WEST HARTFORD (155),618648949.00,5226283.00,3962877.00,29722.00,466413467.00,458204967.00,3436537.00,,,8208500.00,102606.00,0.00,0.00,39198000.00,293985.00,109074606.00,1363433.00,0.00,0.00,1336,526
FY 2020-21,156,WEST HAVEN (156),270483384.00,2146600.00,4265447.00,31991.00,209862169.00,209517035.00,1571378.00,,,345133.00,4314.00,0.00,0.00,33106000.00,248295.00,23249768.00,290622.00,0.00,0.00,955,332
FY 2020-21,157,WESTON (157),352628881.00,3164944.00,4453500.00,33401.00,348175381.00,254884909.00,1911637.00,,,87912972.00,1098912.00,5377500.00,120994.00,0.00,0.00,0.00,0.00,0.00,0.00,379,82
FY 2020-21,158,WESTPORT (158),1430295470.00,15557909.00,29498735.00,221241.00,1363958750.00,654788309.00,4910912.00,,,596705476.00,7458818.00,112464964.00,2530462.00,4799675.00,35998.00,32038310.00,400479.00,0.00,0.00,921,282
